Taluk_District,Late Registered events 2021_Births_Male,Late Registered events 2021_Births_Female,Late Registered events 2021_Births_Transgender,Late Registered events 2021_Births_Total,Late Registered events 2021_Deaths_Male,Late Registered events 2021_Deaths_Female,Late Registered events 2021_Deaths_Transgender,Late Registered events 2021_Deaths_Total
Yadgir,552,429,0,981,22,11,0,33
Shahapur,305,225,0,530,80,27,0,107
Shorapur,184,115,0,299,155,77,0,232
Gurumithakala,210,163,0,373,10,4,0,14
Vadagera,85,83,0,168,54,14,0,68
Hunisigi,107,77,0,184,90,40,0,130
Hospet,319,222,0,541,178,157,0,335
Kudligi,70,50,0,120,287,220,0,507
Hagaribommanahalli,47,26,0,73,367,317,0,684
Harapanahalli,94,84,0,178,81,59,0,140
Kotturu,55,50,0,105,183,148,0,331
Hadagali,62,32,0,94,342,251,0,593
State_total,35645,27415,0,63060,20872,15151,2,36025
